candidateID,surfactant_in_water,ratio_of_surfactant_in_water,ratio_of_surfactant_in_oil,oil_type,surfactant_in_oil,ion_concentration_in_water,reward,TRUE,valid_reward,picindex,is_augmented
17A,LDEA,0,0,PFPE,Perfluoro,0,5.804119948637747,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\8.jpg""",TRUE
18A,LDEA,0,0,PFPE,Perfluoro,0,5.838284193103132,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\8.jpg""",TRUE
19A,LDEA,0,0,PFPE,Perfluoro,0,5.8367498032204255,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\8.jpg""",TRUE
20A,LDEA,0,0,PFPE,Perfluoro,0,5.843719012284853,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\8.jpg""",TRUE
21A,LDEA,0.1,0.002,PMX-20,TEGO-410,1,22.93683171502646,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\9.jpg""",TRUE
22A,LDEA,0.1,0.002,PMX-20,TEGO-410,1,22.89872247952558,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\9.jpg""",TRUE
23A,LDEA,0.1,0.002,PMX-20,TEGO-410,1,22.968265124185066,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\9.jpg""",TRUE
24A,LDEA,0.1,0.002,PMX-20,TEGO-410,1,22.94168003222119,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\9.jpg""",TRUE
25A,LDEA,0.1,0.002,PMX-20,TEGO-410,1,22.908351771472937,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\9.jpg""",TRUE
26A,ODEA,0.1,0.5,mineral,SR,2,11.101974745530535,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\10.jpg""",TRUE
27A,ODEA,0.1,0.5,mineral,SR,2,11.156315393920865,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\10.jpg""",TRUE
28A,ODEA,0.1,0.5,mineral,SR,2,11.09691643280569,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\10.jpg""",TRUE
29A,ODEA,0.1,0.5,mineral,SR,2,11.182041686961039,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\10.jpg""",TRUE
30A,ODEA,0.1,0.5,mineral,SR,2,11.101665915680435,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\10.jpg""",TRUE
31A,ODEA,0.5,0,FC-40,Pico-surf,2.5,6.411759279403817,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\12.jpg""",TRUE
32A,ODEA,0.5,0,FC-40,Pico-surf,2.5,6.415061527084154,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\12.jpg""",TRUE
33A,ODEA,0.5,0,FC-40,Pico-surf,2.5,6.385649460406068,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\12.jpg""",TRUE
34A,ODEA,0.5,0,FC-40,Pico-surf,2.5,6.3320541416324145,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\12.jpg""",TRUE
35A,ODEA,0.5,0,FC-40,Pico-surf,2.5,6.289386699215232,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\12.jpg""",TRUE
36A,ODEA,0.002,0,PMX-1000,TEGO-410,3,4.818605839935815,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\16.jpg""",TRUE
37A,ODEA,0.002,0,PMX-1000,TEGO-410,3,4.807970734739383,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\16.jpg""",TRUE
38A,ODEA,0.002,0,PMX-1000,TEGO-410,3,4.833615641101031,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\16.jpg""",TRUE
39A,ODEA,0.002,0,PMX-1000,TEGO-410,3,4.705367969478097,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\16.jpg""",TRUE
40A,ODEA,0.002,0,PMX-1000,TEGO-410,3,4.866295853230787,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\16.jpg""",TRUE
41A,CEDA,0.002,0,PMX-350,Pico-surf,0,15.333744101987326,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\17.jpg""",TRUE
42A,CEDA,0.002,0,PMX-350,Pico-surf,0,15.475860150243305,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\17.jpg""",TRUE
43A,CEDA,0.002,0,PMX-350,Pico-surf,0,15.35471619367693,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\17.jpg""",TRUE
44A,CEDA,0.002,0,PMX-350,Pico-surf,0,15.451136983343918,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\17.jpg""",TRUE
45A,CEDA,0.002,0,PMX-350,Pico-surf,0,15.409065219671987,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\17.jpg""",TRUE
46A,ODEA,0.5,0,mineral,Perfluoro,3,11.258355293705945,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\18.jpg""",TRUE
47A,ODEA,0.5,0,mineral,Perfluoro,3,11.22252490826807,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\18.jpg""",TRUE
48A,ODEA,0.5,0,mineral,Perfluoro,3,11.154997091244892,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\18.jpg""",TRUE
49A,ODEA,0.5,0,mineral,Perfluoro,3,11.305693943942067,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\18.jpg""",TRUE
50A,ODEA,0.5,0,mineral,Perfluoro,3,11.134039919832444,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\18.jpg""",TRUE
51A,CEDA,0,0.5,PFPE,Perfluoro,2.5,10.718511704270147,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\19.jpg""",TRUE
52A,CEDA,0,0.5,PFPE,Perfluoro,2.5,10.621942953423408,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\19.jpg""",TRUE
53A,CEDA,0,0.5,PFPE,Perfluoro,2.5,10.723914886077319,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\19.jpg""",TRUE
54A,CEDA,0,0.5,PFPE,Perfluoro,2.5,10.639909757010141,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\19.jpg""",TRUE
55A,CEDA,0,0.5,PFPE,Perfluoro,2.5,10.721317829025127,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\19.jpg""",TRUE
56A,LDEA,0.1,0.002,PMX-20,TEGO-410,0.5,22.371223869310654,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\21.jpg""",TRUE
57A,LDEA,0.1,0.002,PMX-20,TEGO-410,0.5,22.451031897157872,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\21.jpg""",TRUE
58A,LDEA,0.1,0.002,PMX-20,TEGO-410,0.5,22.467185925231753,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\21.jpg""",TRUE
59A,LDEA,0.1,0.002,PMX-20,TEGO-410,0.5,22.41359039580378,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\21.jpg""",TRUE
60A,LDEA,0.1,0.002,PMX-20,TEGO-410,0.5,22.38354894535617,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\21.jpg""",TRUE
61A,LDEA,0.1,0.1,PMX-20,TEGO-410,1,24.451561408481396,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\22.jpg""",TRUE
62A,LDEA,0.1,0.1,PMX-20,TEGO-410,1,24.450413839722067,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\22.jpg""",TRUE
63A,LDEA,0.1,0.1,PMX-20,TEGO-410,1,24.441397251939293,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\22.jpg""",TRUE
64A,LDEA,0.1,0.1,PMX-20,TEGO-410,1,24.425577585491766,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\22.jpg""",TRUE
65A,LDEA,0.1,0.1,PMX-20,TEGO-410,1,24.520993380870287,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\22.jpg""",TRUE
66A,LDEA,0.002,0.1,PMX-20,TEGO-410,1,20.646931821611542,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\23.jpg""",TRUE
67A,LDEA,0.002,0.1,PMX-20,TEGO-410,1,20.488659918544617,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\23.jpg""",TRUE
68A,LDEA,0.002,0.1,PMX-20,TEGO-410,1,20.671145329312328,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\23.jpg""",TRUE
69A,LDEA,0.002,0.1,PMX-20,TEGO-410,1,20.5520096769274,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\23.jpg""",TRUE
70A,LDEA,0.002,0.1,PMX-20,TEGO-410,1,20.59185227425158,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\23.jpg""",TRUE
71A,CEDA,0.1,0.1,PMX-20,TEGO-410,0.5,23.22241286167675,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\24.jpg""",TRUE
72A,CEDA,0.1,0.1,PMX-20,TEGO-410,0.5,23.28672008480675,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\24.jpg""",TRUE
73A,CEDA,0.1,0.1,PMX-20,TEGO-410,0.5,23.27993141,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\24.jpg""",TRUE
74A,CEDA,0.1,0.1,PMX-20,TEGO-410,0.5,23.167434747744306,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\24.jpg""",TRUE
75A,CEDA,0.1,0.1,PMX-20,TEGO-410,0.5,23.25333081660607,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\24.jpg""",TRUE
76A,ODEA,0.1,0.1,PMX-20,TEGO-410,1,19.455811750841672,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\25.jpg""",TRUE
77A,ODEA,0.1,0.1,PMX-20,TEGO-410,1,19.50906974523042,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\25.jpg""",TRUE
78A,ODEA,0.1,0.1,PMX-20,TEGO-410,1,19.413920945530034,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\25.jpg""",TRUE
79A,ODEA,0.1,0.1,PMX-20,TEGO-410,1,19.5006108601406,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\25.jpg""",TRUE
80A,ODEA,0.1,0.1,PMX-20,TEGO-410,1,19.35632466552344,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\25.jpg""",TRUE
81A,LDEA,0.1,0.1,PMX-20,TEGO-410,0.5,23.06991225066418,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\26.jpg""",TRUE
82A,LDEA,0.1,0.1,PMX-20,TEGO-410,0.5,23.10092038930975,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\26.jpg""",TRUE
83A,LDEA,0.1,0.1,PMX-20,TEGO-410,0.5,23.082148918969864,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\26.jpg""",TRUE
84A,LDEA,0.1,0.1,PMX-20,TEGO-410,0.5,22.97123212491149,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\26.jpg""",TRUE
85A,LDEA,0.1,0.1,PMX-20,TEGO-410,0.5,23.03130229953696,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\26.jpg""",TRUE
86A,CEDA,0.1,0.1,PMX-20,TEGO-410,1,23.621053826595986,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\27.jpg""",TRUE
87A,CEDA,0.1,0.1,PMX-20,TEGO-410,1,23.620468550960023,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\27.jpg""",TRUE
88A,CEDA,0.1,0.1,PMX-20,TEGO-410,1,23.567867707878566,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\27.jpg""",TRUE
89A,CEDA,0.1,0.1,PMX-20,TEGO-410,1,23.502604890272295,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\27.jpg""",TRUE
90A,CEDA,0.1,0.1,PMX-20,TEGO-410,1,23.59682055334911,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\27.jpg""",TRUE
91A,LDEA,0.1,0.1,PMX-20,TEGO-410,1.5,25.659868519083307,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\28.jpg""",TRUE
92A,LDEA,0.1,0.1,PMX-20,TEGO-410,1.5,25.679690548265597,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\28.jpg""",TRUE
93A,LDEA,0.1,0.1,PMX-20,TEGO-410,1.5,25.762023321721358,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\28.jpg""",TRUE
94A,LDEA,0.1,0.1,PMX-20,TEGO-410,1.5,25.744581508068507,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\28.jpg""",TRUE
95A,LDEA,0.1,0.1,PMX-20,TEGO-410,1.5,25.862898361329584,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\28.jpg""",TRUE
96A,LDEA,0.1,0.1,PMX-20,TEGO-410,2,22.733757356815037,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\29.jpg""",TRUE
97A,LDEA,0.1,0.1,PMX-20,TEGO-410,2,22.83246800473613,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\29.jpg""",TRUE
98A,LDEA,0.1,0.1,PMX-20,TEGO-410,2,22.750904388605196,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\29.jpg""",TRUE
99A,LDEA,0.1,0.1,PMX-20,TEGO-410,2,22.851681594236393,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\29.jpg""",TRUE
100A,LDEA,0.1,0.1,PMX-20,TEGO-410,2,22.85393204270484,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\29.jpg""",TRUE
101A,CEDA,0.1,0.1,PMX-20,TEGO-410,1.5,23.668500660824883,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\31.jpg""",TRUE
102A,CEDA,0.1,0.1,PMX-20,TEGO-410,1.5,23.80631440702669,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\31.jpg""",TRUE
103A,CEDA,0.1,0.1,PMX-20,TEGO-410,1.5,23.681686100746173,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\31.jpg""",TRUE
104A,CEDA,0.1,0.1,PMX-20,TEGO-410,1.5,23.805759258128916,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\31.jpg""",TRUE
105A,CEDA,0.1,0.1,PMX-20,TEGO-410,1.5,23.795743150520412,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\31.jpg""",TRUE
106A,ODEA,0,0,7500,Pico-surf,0.5,22.469733371758885,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\32.jpg""",TRUE
107A,ODEA,0,0,7500,Pico-surf,0.5,22.51376745971116,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\32.jpg""",TRUE
108A,ODEA,0,0,7500,Pico-surf,0.5,22.646049758459213,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\32.jpg""",TRUE
109A,ODEA,0,0,7500,Pico-surf,0.5,22.48984426230637,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\32.jpg""",TRUE
110A,ODEA,0,0,7500,Pico-surf,0.5,22.61716429730598,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\32.jpg""",TRUE
111A,CEDA,0.002,0.1,7500,Pico-surf,1,31.60161043328815,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\33.jpg""",TRUE
112A,CEDA,0.002,0.1,7500,Pico-surf,1,31.623353073150742,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\33.jpg""",TRUE
113A,CEDA,0.002,0.1,7500,Pico-surf,1,31.679102929393192,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\33.jpg""",TRUE
114A,CEDA,0.002,0.1,7500,Pico-surf,1,31.625221165416402,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\33.jpg""",TRUE
115A,CEDA,0.002,0.1,7500,Pico-surf,1,31.660161448185587,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\33.jpg""",TRUE
116A,CEDA,0.1,0.1,7500,Pico-surf,1,34.72856504121799,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\34.jpg""",TRUE
117A,CEDA,0.1,0.1,7500,Pico-surf,1,34.802973262072875,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\34.jpg""",TRUE
118A,CEDA,0.1,0.1,7500,Pico-surf,1,34.704809809861025,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\34.jpg""",TRUE
119A,CEDA,0.1,0.1,7500,Pico-surf,1,34.733738653561325,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\34.jpg""",TRUE
120A,CEDA,0.1,0.1,7500,Pico-surf,1,34.78798592459677,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\34.jpg""",TRUE
121A,CEDA,0.1,0.1,7500,Pico-surf,0.5,33.91892832391564,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\35.jpg""",TRUE
122A,CEDA,0.1,0.1,7500,Pico-surf,0.5,33.968396494070795,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\35.jpg""",TRUE
123A,CEDA,0.1,0.1,7500,Pico-surf,0.5,33.98520770261554,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\35.jpg""",TRUE
124A,CEDA,0.1,0.1,7500,Pico-surf,0.5,33.924904568930316,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\35.jpg""",TRUE
125A,CEDA,0.1,0.1,7500,Pico-surf,0.5,33.960287483386345,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\35.jpg""",TRUE
126A,CEDA,0.1,0.1,7500,Pico-surf,1.5,35.612296222554676,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\36.jpg""",TRUE
127A,CEDA,0.1,0.1,7500,Pico-surf,1.5,35.58476541486557,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\36.jpg""",TRUE
128A,CEDA,0.1,0.1,7500,Pico-surf,1.5,35.63421645054741,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\36.jpg""",TRUE
129A,CEDA,0.1,0.1,7500,Pico-surf,1.5,35.64993560172503,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\36.jpg""",TRUE
130A,CEDA,0.1,0.1,7500,Pico-surf,1.5,35.61881180583821,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\36.jpg""",TRUE
131A,LDEA,0.1,0.1,7500,Pico-surf,1.5,36.15564750545324,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\37.jpg""",TRUE
132A,LDEA,0.1,0.1,7500,Pico-surf,1.5,36.146598059442184,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\37.jpg""",TRUE
133A,LDEA,0.1,0.1,7500,Pico-surf,1.5,36.03172806234059,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\37.jpg""",TRUE
134A,LDEA,0.1,0.1,7500,Pico-surf,1.5,36.0892104171628,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\37.jpg""",TRUE
135A,LDEA,0.1,0.1,7500,Pico-surf,1.5,36.111452073695396,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\37.jpg""",TRUE
136A,LDEA,0.1,0.1,7500,Pico-surf,1,35.64314845554951,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\37.jpg""",TRUE
137A,LDEA,0.1,0.1,7500,Pico-surf,1,35.66069788821708,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\37.jpg""",TRUE
138A,LDEA,0.1,0.1,7500,Pico-surf,1,35.68311537103628,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\37.jpg""",TRUE
139A,LDEA,0.1,0.1,7500,Pico-surf,1,35.63396237893093,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\37.jpg""",TRUE
